Kingdom Phylum Class Order Family Genus Species Kingdom.Confidence Phylum.Confidence Class.Confidence Order.Confidence Family.Confidence Genus.Confidence
997955d666566f32f0d57cdaeab21aa7 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.99
48484138cd4f88258bbd32325d7f670f Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.99
28ce9a732ebfc1f8acf2833e2bbc9bbd Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.93
ca1cfff12c65574707548bd3fef8e004 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.84
f68d10e35b9c44f2a77f63e623bcdbb6 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.75
ea525e61d374f03d32bc52b850be0402 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 1.00 0.99
d0b400b1dc273493953110eda0fb2348 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales Vicinamibacteraceae NA NA 1.00 1.00 1.00 1.00 0.99 0.88
5bbf0cbb7430e3773d4a95a5ddcc8085 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.96 0.96
1d824e5847d85e79d7931c3c5a7d9cf3 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
9df536d879cd6b72ecd2e4e4d05a9e94 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
f852d468b13c0e36e7082d5a0b023fb2 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
f124e20ef8a28746b37ca8a7b753c8fc Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
a1a2c03e21017f70fa345761aa19193c Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
3ae489ad72dc094636f906f4fbb3f41c Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
5cd37e05111717fc8bbb6b94769a58f0 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
e2700aefa86b128937c05f4f4dd45b71 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
da581e36cee25ab03ef74f0422175f29 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
3f48c674bfb96d735ee09bd32ac101da Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
8c32fdedaaa564500b7d0c49fb619bdc Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
cbe7a40527ed8d790b2ab567c6634b21 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
3209f5afdd551f66d387377f26bcc1dc Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
4d56ab10677542b64bfd38155d4e3305 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
5f720321c22a4b939c1f8b8647ba78e4 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.99 0.99
c342ae479e8647744d366d5cc019e0af Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
e9fcf80b354a2e694c433b79191e1600 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
5d54394acdbc4436d7bb20c61784c50f Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
09aa002a2f42aaa4bce28e5c6737e22a Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
dba682409a748b26ce327b1b112550e9 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
e8fa7c269a7953f54c2f872036a299b8 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
3762c2b1e91eb8ff683a092954d47027 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
2e1ad4de8caa2af94cb2ae810b2ed9ce Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
0be31311933b0d26d811dd5df11c8116 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
83efe30ab0d683009fa3bc3eb8ef2758 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.96 0.96
3ecf18e2a45816d197373701db8d25ff Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.84 0.84
bd2c193db243b77fc11bd726e94ca3e2 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.84 0.84
3ce738e55edaea15565b0078551348cf Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.98 0.98
b88a8ac57c3184b01f87822eacf4012f Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.98 0.98
e7613a1dc64fb61c598e803ace75e991 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.88 0.88
a8f0bf25a25f1ded6587528ee137043c Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 0.98 0.98 0.98 0.90 0.90
b53a5d467349f1ec700cc19eba153a40 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.83 0.83
7e18be25e9896c385ddf9a8610df95d6 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.88 0.88
b4dfd0118bec248054e194bbbd236f62 Bacteria Acidobacteriota Vicinamibacteria Vicinamibacterales NA NA NA 1.00 1.00 1.00 1.00 0.99 0.99
bbcc53760c6e670cc025d42671ae9653 Bacteria Acidobacteriota Subgroup_22 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
26b18f4f462c5dde8fdfc7abb53d9a24 Bacteria Acidobacteriota Subgroup_22 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
ceda3043b373c4cf62d1564d048edc5f Bacteria Acidobacteriota Subgroup_22 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
66e94010c671b3236e5fc3d389cdbc49 Bacteria Acidobacteriota Subgroup_22 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
4642a19af423299e268cedef91f1570d Bacteria Acidobacteriota Subgroup_22 NA NA NA NA 1.00 0.98 0.98 0.98 0.98 0.98
8f9e7ac0685eb3436b1f7282a3f79026 Bacteria NA NA NA NA NA NA 1.00 0.16 0.14 0.14 0.14 0.14
9a234bfafa46133332fb2e8f38c0c9a3 Bacteria NA NA NA NA NA NA 1.00 0.20 0.20 0.20 0.20 0.20
3f769f2de126c9bd25b1951ffa5df049 Bacteria Schekmanbacteria NA NA NA NA NA 1.00 0.93 0.93 0.93 0.93 0.93
8ce46219adb4b1902db822f5bd07c634 Bacteria NA NA NA NA NA NA 1.00 0.22 0.22 0.22 0.22 0.22
22403b039157e753a5f0c0abd52ef26a Bacteria NA NA NA NA NA NA 1.00 0.47 0.47 0.47 0.47 0.47
f5eb968cf6dd0adb4338814b92b49274 Bacteria Schekmanbacteria NA NA NA NA NA 0.99 0.69 0.69 0.69 0.69 0.69
629939143b9648eb4f2317476c3ec53e Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Z114MB74 NA 0.98 0.52 0.52 0.52 0.52 0.50
d9c278554efc66b24f14a4c96c631d38 Bacteria NA NA NA NA NA NA 1.00 0.33 0.33 0.33 0.33 0.32
7927ca49dd83fbe057ba2c4c4fb9914a Bacteria NA NA NA NA NA NA 1.00 0.31 0.29 0.29 0.29 0.29
e5fb87f66a37381d710b2a41ae0c7315 Bacteria NA NA NA NA NA NA 1.00 0.28 0.28 0.28 0.28 0.27
e29914e0c8fe48d7ea04193d91ed41ac Bacteria Acidobacteriota Subgroup_20 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
3786242a76b88d0a186deb971e94e524 Bacteria Acidobacteriota Subgroup_20 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
8d84180f2967df70ae80622c78a57994 Bacteria Acidobacteriota Subgroup_20 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
3efc5a6db4fec91ad6eb3f43d315e795 Bacteria Acidobacteriota Subgroup_20 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
4257f8b19191989cec7aa0b6685453a8 Bacteria Poribacteria NA NA NA NA NA 0.99 0.70 0.70 0.70 0.70 0.70
af6adf16bbc0681e4d6a61d8bd2659be Bacteria NA NA NA NA NA NA 0.99 0.17 0.16 0.16 0.16 0.16
0a3b9c9eb77c1cd4d64281113d6df4f9 Bacteria Schekmanbacteria NA NA NA NA NA 1.00 0.94 0.94 0.94 0.94 0.94
6bc1fa864ae059aa52376ac04d5f60cd Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae NA NA 1.00 0.67 0.67 0.67 0.67 0.47
0a9c0f5806bd6605a6be8c1c5fab2803 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Sh765B-TzT-35 NA 1.00 1.00 1.00 1.00 1.00 1.00
f8700bcfaf94ecaa217736823cfe91f1 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Sh765B-TzT-35 NA 1.00 1.00 1.00 1.00 1.00 1.00
7c188ff40a7d4b59351c29f3bdc06236 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Sh765B-TzT-35 NA 1.00 1.00 1.00 1.00 1.00 1.00
6e230ab24af9b4091a211060f1c1be1d Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Sh765B-TzT-35 NA 1.00 1.00 1.00 1.00 1.00 1.00
6515bf8f79f9b5f0a34be290a1380a77 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Sh765B-TzT-35 NA 1.00 1.00 1.00 1.00 1.00 1.00
94d0bf153836bbc9fd78622366be1607 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
5bae2c7cc3e8c6caef693612dc2ab71c Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 0.99
2cb316d0c8b3ee9febcc0e31a81aebcc Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
8da4650fa883ac364a7cd6ec63479c3c Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
8a6ff0c88772f33477cc3c1e68cc67ff Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
56ec90c4c1faadc69c58d9d8886cedfc Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
a2b1365fc6c44fdea479bbf73fe8d31d Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
c22d839ebd13ecd55c2f90b920ba76a2 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
867ae1a28317337d1956e68e7f08ae0b Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
1577a2562c60b672938b736c886b8533 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
e84a4898e9e1badb05b3e532291e9e1b Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
93d77e55d57f48ebfef9f56c26cea1c6 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
a38f0211d32ca1b82a76f749d2d692e5 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
3a1205aeb266642621eb37925dce8983 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
c0198fbe9a60060689c1082bf64bde94 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 0.99
0f178ea5bbf8101946803a4251803c3c Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 0.99
326f1369e31d254ad5358ec0dd09ed57 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 0.99 0.99 0.99 0.99 0.99
ec98aa677b1b1d762686db0d5290e0e3 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
9f74c4dd58ca1eca3d8f9a84f5becc1d Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
e42bb78cf8bc72aa5078fd047b8a8f0f Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
8478d694e6146f29a4a5cfd92d887f59 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
c374ab52b190c63f749c316414343f44 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
0e3ebe714b20e8660d219b6a2777d094 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 1.00
3f36e14158e1c8f04bbc6727f2353d2c Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 1.00 1.00 1.00 1.00 0.99
943d75b9aae5eb70537ba9b1a5d48471 Bacteria Methylomirabilota Methylomirabilia Methylomirabilales Methylomirabilaceae Candidatus_Methylomirabilis NA 1.00 0.97 0.97 0.97 0.97 0.94
522fae8c97a8cab166f6a4b58c774870 Bacteria Nitrospirota NA NA NA NA NA 1.00 0.56 0.43 0.43 0.43 0.43
c9f83628d6520d5442db09a6f0246369 Bacteria Schekmanbacteria NA NA NA NA NA 1.00 0.60 0.60 0.60 0.60 0.60
4860c1a96c5668d1ae8b00c399ba2e11 Bacteria Schekmanbacteria NA NA NA NA NA 1.00 0.50 0.50 0.50 0.50 0.50
d4ab2852bee13bbe5ca3346e53a931a1 Bacteria Schekmanbacteria NA NA NA NA NA 1.00 0.72 0.72 0.72 0.72 0.72
aebdbd554d33161aa983acf1f7b06994 Bacteria NA NA NA NA NA NA 1.00 0.24 0.20 0.20 0.20 0.20
e6277b69aae546cdda419c1d5b0cc7fd Bacteria NA NA NA NA NA NA 1.00 0.14 0.14 0.14 0.14 0.14
8d2c71496825a7f57052a394d45a289f Bacteria Nitrospirota BMS9AB35 NA NA NA NA 1.00 0.97 0.97 0.97 0.97 0.97
2450ad357cc5968e84cb93adbd37c869 Bacteria Nitrospirota BMS9AB35 NA NA NA NA 1.00 0.93 0.87 0.87 0.87 0.87
b0fb4d646090eaa539b90a94597f80bc Bacteria Nitrospirota BMS9AB35 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
f4d9ad8102631aa4f7e55c0560ff2e79 Bacteria Nitrospirota BMS9AB35 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
26877ea734bbc9b9ba34a787f89b50ed Bacteria Nitrospirota BMS9AB35 NA NA NA NA 1.00 0.98 0.98 0.98 0.98 0.98
5d196182abe1cdc80b9a4e5d79e91d0e Bacteria Nitrospirota BMS9AB35 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
7cbf076490f4bfbc9baa751656c1f468 Bacteria Nitrospirota BMS9AB35 NA NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
da3f02a91d5da6c2a143dc1109ef7214 Bacteria Nitrospirota BMS9AB35 NA NA NA NA 1.00 0.99 0.99 0.99 0.99 0.99
5c6397f32dc8da424748578ee2c73b65 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
0268600dd2a844994cfa74c5cf4e7fd9 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
4529eead62bfb5362d28871d7e0d24bc Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae NA NA 1.00 0.99 0.99 0.99 0.99 0.98
e8c9715c1c3ccf10afe1eb327bc57a25 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
bc7643f93f504cfe3e90e369e7710d83 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae NA NA 1.00 1.00 1.00 1.00 1.00 1.00
07f02edd55c0139585863acb7bf7db8e Bacteria Acidobacteriota Aminicenantia Aminicenantales NA NA NA 1.00 1.00 1.00 1.00 1.00 1.00
0f0dfda11e1cec1aedbfe187abfe513a Bacteria Acidobacteriota Aminicenantia Aminicenantales NA NA NA 1.00 0.82 0.81 0.81 0.81 0.81
93dc5181d61766a2a797e33d13051329 Bacteria Acidobacteriota Aminicenantia Aminicenantales NA NA NA 1.00 1.00 0.98 0.98 0.98 0.98
11f26f22981787f51b8567793a56ef92 Bacteria Acidobacteriota Aminicenantia Aminicenantales NA NA NA 1.00 0.99 0.99 0.99 0.99 0.99
fc4169e92cb613881e0122d4acac0ea2 Bacteria Acidobacteriota Aminicenantia Aminicenantales NA NA NA 1.00 0.97 0.97 0.97 0.97 0.97
ac709f086a97b705e809210308866b80 Bacteria NA NA NA NA NA NA 0.99 0.13 0.13 0.13 0.13 0.13
0bbc1699ed6bd129547869785329e7a8 Bacteria NA NA NA NA NA NA 1.00 0.13 0.13 0.13 0.13 0.13
f90f215ccfc8cdcb258a9d3a8a31f985 Bacteria NA NA NA NA NA NA 1.00 0.44 0.34 0.31 0.31 0.31
03769b070aaf09dea169e237356362bf Bacteria NA NA NA NA NA NA 1.00 0.45 0.36 0.29 0.29 0.29
